spanish-friends-argentina	french-traveler                al día
spanish-friends-argentina	[CITA-AJENA] alma	with all your heart (con el alma)	No había señal ni un alma en la ruta.
spanish-friends-argentina	[CITA-AJENA] bandeja	handed on a plate (servido en bandeja)	En la cocina del balneario, con la temporada muerta y el viento sur golpeando las persianas, Seba llenaba una bandeja de tapas de alfajor.
spanish-friends-argentina	[CITA-AJENA] cielo	to protest loudly (pegar el grito al cielo)	“Acá en el sur nadie corre, che”, le tiró Bruno, y se frenó de nuevo a olfatear el aire y mirar el cielo.
spanish-friends-argentina	[CITA-AJENA] cruzó	crossed fingers (cruzar los dedos)	Un cabeceo cruzó la ronda y un bailarín levantó apenas el mentón.
spanish-friends-argentina	[CITA-AJENA] dado	to go around (dar vueltas)	Cerca de la orilla apareció un kayakista dado vuelta entre las olas.
spanish-friends-argentina	[CITA-AJENA] están	that is what they are for (para eso están)	(NO APARECE)
spanish-friends-argentina	[CITA-AJENA] falta	without fail (sin falta)	(NO APARECE)
spanish-friends-argentina	[CITA-AJENA] fuego	a trial by fire (prueba de fuego)	Ariel deja la guitarra apoyada, ceba un mate y, sin que nadie le pida nada, le baja el fuego a la sartén justo cuando el aceite estaba por pasarse.
spanish-friends-argentina	[CITA-AJENA] hondo	to breathe deep (respirar hondo)	Alguien suma un legüero, y el golpe hondo se mete en el pecho de todos.
spanish-friends-argentina	[CITA-AJENA] horno	in deep trouble (al horno)	“Estamos en el horno”, soltó Fabián.
spanish-friends-argentina	[CITA-AJENA] lugar	instead of (en lugar de)	Micaela le hace un lugar y le pasa la espumadera para la próxima tanda.
spanish-friends-argentina	[CITA-AJENA] muerta	dead; starving (muerta de hambre)	En la cocina del balneario, con la temporada muerta y el viento sur golpeando las persianas, Seba llenaba una bandeja de tapas de alfajor.
spanish-friends-argentina	[CITA-AJENA] patas	to blunder badly (meter las patas)	Julieta, que de porteña tenía todo menos el tango en las patas, se sentó al lado de su amiga Malena.
spanish-friends-argentina	[CITA-AJENA] pecho	a tight ache in the chest (apretar el pecho)	Alguien suma un legüero, y el golpe hondo se mete en el pecho de todos.
spanish-friends-argentina	[CITA-AJENA] pegada	blasting music (champeta pegada)	Pegada al vidrio de la chocolatería más famosa del centro, Juli buscaba el ángulo justo para que entrara toda la vidriera en la foto.
spanish-friends-argentina	[CITA-AJENA] pensaba	was not going to (no lo pensaba)	Entre los tres armaron alfajores hasta la madrugada, tapa contra tapa, rellenos de ese dulce que Seba ya no pensaba tirar.
spanish-friends-argentina	[CITA-AJENA] plena	right in the middle of (en plena mesa)	Juli se queda ahí en plena trasnochada, desvelada y feliz, con la sensación de que en el norte también tiene su gente.
spanish-friends-argentina	[CITA-AJENA] prendió	the lightbulb went on (prenderse el foco)	Los salteños, que la miraban como bicho raro, quedaron mudos cuando el auto prendió al toque.
spanish-friends-argentina	[CITA-AJENA] puesto	got his act together (puesto las pilas)	Cuenta que una amiga le consiguió un puesto fijo en Buenos Aires.
spanish-friends-argentina	[CITA-AJENA] quieta	to leave alone (dejar quieta)	(NO APARECE)
spanish-friends-argentina	[CITA-AJENA] ritmo	to find the groove (agarrar el ritmo)	“Tranca, boluda, Bruno sabe lo que hace”, le dijo bajito, “vos hacele caso y seguile el ritmo”.
spanish-friends-argentina	[CITA-AJENA] rojas	red flags (banderas rojas)	En el patio, Ariel atiza el fogón hasta que las brasas laten rojas bajo el algarrobo.
spanish-friends-argentina	[CITA-AJENA] sacando	pulling it off (sacar adelante)	Para ella, Bariloche era eso: chocolate caro, luces, cartel en inglés y colas de turistas sacando fotos.
spanish-friends-argentina	[CITA-AJENA] sacarlo	to wind him up (sacar de casillas)	Bruno no lo dudó: pegó la vuelta y fue a sacarlo mar adentro.
spanish-friends-argentina	[CITA-AJENA] sobra	plenty to spare (de sobra)	Al principio se ríe, pero la cargada no afloja y, dolida, siente que sobra.
